reaction,High-yielding,Not high-yielding
CCC(CC)c1cc(C)nn2c(-c3ccc(Br)n3C)c(C)nc12.Cc1ccsc1[Zn+]>C1CCOC1.[Br-].[Cl-].[NH4+]>CCC(CC)c1cc(C)nn2c(-c3ccc(-c4sccc4C)n3C)c(C)nc12,0,1
CCCC(O)c1cccc(Br)n1.CCOC(=O)COc1ccc(O)cc1C>C1CCOC1.CCCCP(CCCC)CCCC>CCCC(Oc1ccc(OCC(=O)OCC)c(C)c1)c1cccc(Br)n1,0,1
NCCCNc1ccccc1.O=C(n1ccnc1)n1ccnc1>C1CCOC1>O=C1NCCCN1c1ccccc1,0,1
CCOP(=O)(CC(=O)N1CCCCC1)OCC.CCc1cccc2c(C=O)cc(OC)c(OCOC)c12>CN(C)C=O.O.[H-].[Na+]>CCc1cccc2c(/C=C/C(=O)N3CCCCC3)cc(OC)c(OCOC)c12,1,0
CCOC(=O)C(Br)CC.O=C1CNC(=S)N1>CN(C)C=O.O=C([O-])[O-].[K+]>CCOC(=O)CCCN1C(=O)CNC1=S,0,1
CC(C)(C)OC(=O)NCc1ccc(CC(=O)O)cc1.C[C@@H](N)C(F)(F)F>CCN(CC)CC.CN(C)c1ccncc1.Cl.ClCCCl.ClCCl.On1nnc2ccccc21>C[C@@H](NC(=O)Cc1ccc(CNC(=O)OC(C)(C)C)cc1)C(F)(F)F,0,1
CCCCCc1cc(O)c2c(c1)OC(C)(C)C(CCCO)=C2C.COCCl>CN(C)C=O.[H-].[Na+]>CCCCCc1cc(OCOC)c2c(c1)OC(C)(C)C(CCCO)=C2C,1,0
CN(C)C=O.Cn1ccc2c(F)cccc21>O=P(Cl)(Cl)Cl.[Na+].[OH-]>Cn1cc(C=O)c2c(F)cccc21,0,1
C/C=C/C(=O)O.c1ccsc1>Cc1ccccc1.O=C(CCl)OC(=O)CCl>C/C=C/C(=O)c1cccs1,0,1
O=[N+]([O-])c1cc2c(c(-c3cccnc3)c1)OCC2>CCO.Cl.O.[Na+].[OH-].[Sn]>Nc1cc2c(c(-c3cccnc3)c1)OCC2,1,0
CC(C)(C)CC(=O)Cl.CCOC(=O)COc1ccc2cc(-c3cc4ccccc4s3)ccc2c1Br>ClC(Cl)Cl.Cl[Sn](Cl)(Cl)Cl>CCOC(=O)COc1ccc2cc(-c3sc4ccccc4c3C(=O)CC(C)(C)C)ccc2c1Br,0,1
N#Cc1ccc2c(c1)nc(-c1ccc(OCc3ccccc3)cc1)n2C1CCCC1.NO>CCO.Cl.O.O=C([O-])O.[Na+]>NC(=NO)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3)cc1)n2C1CCCC1,1,0
O=C1NC(Cc2cccc(OCC(F)(F)C(F)F)c2)C(c2ccc(F)cc2)O1>CCO.[Na+].[OH-]>NC(Cc1cccc(OCC(F)(F)C(F)F)c1)C(O)c1ccc(F)cc1,1,0
CCOC(=O)CC(c1cccc(O)n1)c1ncc(C)s1.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F>CCN(C(C)C)C(C)C.ClCCl.O>CCOC(=O)CC(c1cccc(OS(=O)(=O)C(F)(F)F)n1)c1ncc(C)s1,1,0
Nc1nccc2cc(-c3cnc4cnccn34)oc12.O=C1CCC(=O)N1I>CN(C)C=O.O>Nc1ncc(I)c2cc(-c3cnc4cnccn34)oc12,0,1
C=C(C)c1cccc(C(C)(C)N=C=O)c1.O[C@@H]1CN2CC[C@H]1C2>C1CCOC1.[H-].[Na+]>C=C(C)c1cccc(C(C)(C)NC(=O)O[C@@H]2CN3CC[C@H]2C3)c1,0,1
C=C(C)C(=O)OCCN.O=S(=O)(F)C(F)(F)F>CC#N.CCN(CC)CC.Cl.c1ccc2c(c1)Nc1ccccc1S2>C=C(C)C(=O)OCCNS(=O)(=O)C(F)(F)F,0,1
COc1ccc(Cn2cc(-c3nc(Nc4cccc(Br)n4)sc3C)cn2)cc1.[C-]#N>CC#N.[Cu]I.[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>COc1ccc(Cn2cc(-c3nc(Nc4cccc(C#N)n4)sc3C)cn2)cc1,1,0
COc1ccc(C=O)cc1B(O)O.FC1(F)Oc2ccc(Br)cc2O1>CC(=O)[O-].CO.O.O=C([O-])[O-].[K+].[Pd+2]>COc1ccc(C=O)cc1-c1ccc2c(c1)OC(F)(F)O2,0,1
C#C[Si](C)(C)C.Clc1ccc(-c2cc(C3CC3)n3ncc(I)c3n2)cc1>C1CCOC1.CCN(CC)CC.CN(C)C=O.CO.O=C([O-])[O-].[K+]>C#Cc1cnn2c(C3CC3)cc(-c3ccc(Cl)cc3)nc12,0,1
CCN(CC)CC.O=C(Cl)C(=O)c1c(-c2ccccc2)cc2ccccn12>ClCCl>Cc1ccc(NC(=O)C(=O)c2c(-c3ccccc3)cc3ccccn23)cc1,0,1
