High-yielding,Not high-yielding,sentences
0,1,"3-(5-bromo-1-methylpyrrol-2-yl)-2,6-dimethyl-8-pentan-3-ylimidazo[1,2-b]pyridazine and (3-methyl-2-thienyl)zinc(1+) react together in the presence of oxolane, bromide, chloride, azanium to produce 2,6-dimethyl-3-[1-methyl-5-(3-methylthiophen-2-yl)pyrrol-2-yl]-8-pentan-3-ylimidazo[1,2-b]pyridazine."
0,1,"1-(6-bromopyridin-2-yl)butan-1-ol and ethyl 2-(4-hydroxy-2-methylphenoxy)acetate react together in the presence of oxolane, tributylphosphane to produce ethyl 2-[4-[1-(6-bromopyridin-2-yl)butoxy]-2-methylphenoxy]acetate."
0,1,"N'-phenylpropane-1,3-diamine and di(imidazol-1-yl)methanone react together in the presence of oxolane to produce 1-phenyl-1,3-diazinan-2-one."
1,0,"2-diethoxyphosphoryl-1-piperidin-1-ylethanone and 5-ethyl-3-methoxy-4-(methoxymethoxy)naphthalene-1-carbaldehyde react together in the presence of N,N-dimethylformamide, oxidane, hydride, sodium(1+) to produce (E)-3-[5-ethyl-3-methoxy-4-(methoxymethoxy)naphthalen-1-yl]-1-piperidin-1-ylprop-2-en-1-one."
0,1,"ethyl 2-bromobutanoate and 2-sulfanylideneimidazolidin-4-one react together in the presence of N,N-dimethylformamide, carbonate, potassium(1+) to produce ethyl 4-(5-oxo-2-sulfanylideneimidazolidin-1-yl)butanoate."
0,1,"2-[4-[[(2-methylpropan-2-yl)oxycarbonylamino]methyl]phenyl]acetic acid and (2R)-1,1,1-trifluoropropan-2-amine react together in the presence of N,N-diethylethanamine, N,N-dimethylpyridin-4-amine, chlorane, 1,2-dichloroethane, dichloromethane, 1-hydroxybenzotriazole to produce tert-butyl N-[[4-[2-oxo-2-[[(2R)-1,1,1-trifluoropropan-2-yl]amino]ethyl]phenyl]methyl]carbamate."
1,0,"3-(3-hydroxypropyl)-2,2,4-trimethyl-7-pentylchromen-5-ol and chloro(methoxy)methane react together in the presence of N,N-dimethylformamide, hydride, sodium(1+) to produce 3-[5-(methoxymethoxy)-2,2,4-trimethyl-7-pentylchromen-3-yl]propan-1-ol."
0,1,"N,N-dimethylformamide and 4-fluoro-1-methylindole react together in the presence of phosphoryl trichloride, sodium(1+), hydroxide to produce 4-fluoro-1-methylindole-3-carbaldehyde."
0,1,"(E)-but-2-enoic acid and thiophene react together in the presence of toluene, (2-chloroacetyl) 2-chloroacetate to produce (E)-1-thiophen-2-ylbut-2-en-1-one."
1,0,"3-(5-nitro-2,3-dihydro-1-benzofuran-7-yl)pyridine reacts in the presence of ethanol, chlorane, oxidane, sodium(1+), hydroxide, tin to produce 7-pyridin-3-yl-2,3-dihydro-1-benzofuran-5-amine."
0,1,"3,3-dimethylbutanoyl chloride and ethyl 2-[6-(1-benzothiophen-2-yl)-1-bromonaphthalen-2-yl]oxyacetate react together in the presence of chloroform, tetrachlorostannane to produce ethyl 2-[1-bromo-6-[3-(3,3-dimethylbutanoyl)-1-benzothiophen-2-yl]naphthalen-2-yl]oxyacetate."
1,0,"1-cyclopentyl-2-(4-phenylmethoxyphenyl)benzimidazole-5-carbonitrile and hydroxylamine react together in the presence of ethanol, chlorane, oxidane, hydrogen carbonate, sodium(1+) to produce 1-cyclopentyl-N'-hydroxy-2-(4-phenylmethoxyphenyl)benzimidazole-5-carboximidamide."
1,0,"5-(4-fluorophenyl)-4-[[3-(2,2,3,3-tetrafluoropropoxy)phenyl]methyl]-1,3-oxazolidin-2-one reacts in the presence of ethanol, sodium(1+), hydroxide to produce 2-amino-1-(4-fluorophenyl)-3-[3-(2,2,3,3-tetrafluoropropoxy)phenyl]propan-1-ol."
1,0,"ethyl 3-(5-methyl-1,3-thiazol-2-yl)-3-(6-oxo-1H-pyridin-2-yl)propanoate and trifluoromethylsulfonyl trifluoromethanesulfonate react together in the presence of N-ethyl-N-propan-2-ylpropan-2-amine, dichloromethane, oxidane to produce ethyl 3-(5-methyl-1,3-thiazol-2-yl)-3-[6-(trifluoromethylsulfonyloxy)pyridin-2-yl]propanoate."
0,1,"2-imidazo[1,2-a]pyrazin-3-ylfuro[2,3-c]pyridin-7-amine and 1-iodopyrrolidine-2,5-dione react together in the presence of N,N-dimethylformamide, oxidane to produce 2-imidazo[1,2-a]pyrazin-3-yl-4-iodofuro[2,3-c]pyridin-7-amine."
0,1,"1-(2-isocyanatopropan-2-yl)-3-prop-1-en-2-ylbenzene and (3S,4S)-1-azabicyclo[2.2.1]heptan-3-ol react together in the presence of oxolane, hydride, sodium(1+) to produce [(3S,4S)-1-azabicyclo[2.2.1]heptan-3-yl] N-[2-(3-prop-1-en-2-ylphenyl)propan-2-yl]carbamate."
0,1,"2-aminoethyl 2-methylprop-2-enoate and trifluoromethanesulfonyl fluoride react together in the presence of acetonitrile, N,N-diethylethanamine, chlorane, 10H-phenothiazine to produce 2-(trifluoromethylsulfonylamino)ethyl 2-methylprop-2-enoate."
1,0,"N-(6-bromopyridin-2-yl)-4-[1-[(4-methoxyphenyl)methyl]pyrazol-4-yl]-5-methyl-1,3-thiazol-2-amine and cyanide react together in the presence of acetonitrile, iodocopper, sodium(1+), palladium;triphenylphosphanium to produce 6-[[4-[1-[(4-methoxyphenyl)methyl]pyrazol-4-yl]-5-methyl-1,3-thiazol-2-yl]amino]pyridine-2-carbonitrile."
0,1,"(5-formyl-2-methoxyphenyl)boronic acid and 5-bromo-2,2-difluoro-1,3-benzodioxole react together in the presence of acetate, methanol, oxidane, carbonate, potassium(1+), palladium(2+) to produce 3-(2,2-difluoro-1,3-benzodioxol-5-yl)-4-methoxybenzaldehyde."
0,1,"ethynyl(trimethyl)silane and 5-(4-chlorophenyl)-7-cyclopropyl-3-iodopyrazolo[1,5-a]pyrimidine react together in the presence of oxolane, N,N-diethylethanamine, N,N-dimethylformamide, methanol, carbonate, potassium(1+) to produce 5-(4-chlorophenyl)-7-cyclopropyl-3-ethynylpyrazolo[1,5-a]pyrimidine."
0,1,"N,N-diethylethanamine and 2-oxo-2-(2-phenylindolizin-3-yl)acetyl chloride react together in the presence of dichloromethane to produce N-(4-methylphenyl)-2-oxo-2-(2-phenylindolizin-3-yl)acetamide."
0,1,"[dimethylamino(triazolo[4,5-b]pyridin-3-yloxy)methylidene]-dimethylazanium and N-methylquinolin-4-amine react together in the presence of acetonitrile, N-ethyl-N-propan-2-ylpropan-2-amine, N,N-dimethylpyridin-4-amine, chlorane, hexafluorophosphate, hydrogen carbonate, sodium(1+) to produce N-(quinolin-4-ylmethyl)-6-(trifluoromethoxy)-2H-chromene-3-carboxamide."
0,1,"2-fluoropyridine and 1-tritylimidazole-4-carbaldehyde react together in the presence of oxolane, N-propan-2-ylpropan-2-amine, lithium;butane to produce (2-fluoropyridin-3-yl)-(1-tritylimidazol-4-yl)methanol."
1,0,(2R)-3-methyl-1-(pyridin-3-ylmethoxy)-N-tritylbutan-2-amine reacts in the presence of formic acid to produce (2R)-3-methyl-1-(pyridin-3-ylmethoxy)butan-2-amine.
0,1,"6-[(2-methyloxiran-2-yl)methyl]-6-phenyl-3-[2-(1-phenyltriazol-4-yl)propan-2-yl]-1,3-oxazinan-2-one reacts in the presence of oxolane, oxidane, dioxido-oxo-sulfanylidene-lambda6-sulfane, hydrogen peroxide, sodium(1+) to produce 6-(2-hydroxy-2-methylpropyl)-6-phenyl-3-[2-(1-phenyltriazol-4-yl)propan-2-yl]-1,3-oxazinan-2-one."
0,1,"[4-[[[4-[[2-(4-methoxyphenyl)acetyl]amino]benzoyl]-[2-[(2-methylpropan-2-yl)oxy]-2-oxoethyl]amino]methyl]phenyl] 4-heptoxybenzoate reacts in the presence of 2,2,2-trifluoroacetic acid to produce 2-[[4-(4-heptoxybenzoyl)oxyphenyl]methyl-[4-[[2-(4-methoxyphenyl)acetyl]amino]benzoyl]amino]acetic acid."
1,0,4-bromobut-1-ene and 1-phenylpiperazine react together in the presence of ethoxyethane to produce 1-but-3-enyl-4-phenylpiperazine.
0,1,"2-piperazin-1-ylpropanamide and 2-(6-fluoropyridin-2-yl)-5,7-dimethoxy-3H-quinazolin-4-one react together in the presence of 1,1,3,3-tetramethylguanidine, methylsulfinylmethane, chlorane, dichloromethane to produce 2-[4-[6-(5,7-dimethoxy-4-oxo-3H-quinazolin-2-yl)pyridin-2-yl]piperazin-1-yl]propanamide."
1,0,"2-methylpropyl carbonochloridate and 6-(4-methylsulfonylphenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol react together in the presence of ethoxyethane, dichloromethane to produce 2-methylpropyl [6-(4-methylsulfonylphenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-yl] carbonate."
0,1,"6-chloropyridine-3,4-diamine and 4-[(2,6-difluorophenyl)methylamino]-1H-pyrazole-5-carboxylic acid react together in the presence of N,N-diethylethanamine, N,N-dimethylformamide, 1,2-dichloroethane to produce N-[5-(6-chloro-3H-imidazo[4,5-c]pyridin-2-yl)-1H-pyrazol-4-yl]-2,6-difluorobenzamide."
1,0,"(2S,4R)-2-(azidomethyl)-N-butyl-4-tritylsulfanylpyrrolidine-1-carboxamide reacts in the presence of ethanol, boranuide, chloride, azanium, sodium(1+) to produce (2S,4R)-2-(aminomethyl)-N-butyl-4-tritylsulfanylpyrrolidine-1-carboxamide."
1,0,"tert-butyl N-[(2S)-1-oxo-3-phenyl-1-[(2-pyridin-4-yl-1,3-thiazol-4-yl)amino]propan-2-yl]carbamate reacts in the presence of 1,4-dioxane, chlorane, oxidane, hydrogen carbonate, sodium(1+) to produce (2S)-2-amino-3-phenyl-N-(2-pyridin-4-yl-1,3-thiazol-4-yl)propanamide."
0,1,"N,2,4-trimethoxy-N-methylbenzamide and 1-chloropyrrolidine-2,5-dione react together in the presence of acetonitrile to produce 5-chloro-N,2,4-trimethoxy-N-methylbenzamide."
0,1,"(E,3S,4S)-4-[[(2S)-3-(4-but-2-ynoxyphenyl)-1-methoxy-1-oxopropan-2-yl]carbamoyl]-3-hydroxy-3-[(2-methylpropan-2-yl)oxycarbonyl]-13-oxoicos-5-enoate and 1-hydroxybenzotriazole react together in the presence of oxolane, tert-butyl (E,2S,3S)-2-(2-amino-2-oxoethyl)-3-[[(2S)-3-(4-but-2-ynoxyphenyl)-1-methoxy-1-oxopropan-2-yl]carbamoyl]-2-hydroxy-12-oxononadec-4-enoate, N-ethyl-N-propan-2-ylpropan-2-amine, N,N-diethylethanamine, 1-Ethyl-3-(3′-dimethylaminopropyl)carbodiimide, N,N-dimethylformamide, chlorane, (2,2,2-trifluoroacetyl) 2,2,2-trifluoroacetate, formic acid, chloride, azanium to produce (E,2S,3S)-3-[[(1S)-2-(4-but-2-ynoxyphenyl)-1-carboxyethyl]carbamoyl]-2-hydroxy-2-(2-methoxyethyl)-12-oxononadec-4-enoic acid."
1,0,"tert-butyl 4-[[(2Z)-2-(1H-indol-3-ylmethylidene)-3-oxo-6-phenylmethoxy-1-benzofuran-7-yl]methyl]piperazine-1-carboxylate reacts in the presence of 1,4-dioxane, chlorane, dichloromethane to produce (2Z)-2-(1H-indol-3-ylmethylidene)-6-phenylmethoxy-7-(piperazin-1-ylmethyl)-1-benzofuran-3-one."
1,0,"(4-methylsulfonylphenyl)hydrazine and 5-bromo-1H-indole-2,3-dione react together to produce 5-bromo-3-[(4-methylsulfonylphenyl)diazenyl]-1H-indol-2-ol."
0,1,"2-bromo-1-(4-chlorophenyl)ethanone and (4-chlorophenyl)methanesulfonyl fluoride react together in the presence of oxolane, tetrabutylazanium, carbonate, bromide, potassium(1+) to produce (E)-1,3-bis(4-chlorophenyl)prop-2-en-1-one."
1,0,"1-(4-fluorophenyl)-6-methyl-2-oxopyridine-3-carbonitrile and 1-bromopyrrolidine-2,5-dione react together in the presence of oxolane, acetonitrile, ethyl acetate, hydrogen carbonate, sodium(1+) to produce 5-bromo-1-(4-fluorophenyl)-6-methyl-2-oxopyridine-3-carbonitrile."
1,0,"tert-butyl (2-methylpropan-2-yl)oxycarbonyl carbonate and N,N-diethylethanamine react together in the presence of chlorane, sodium(1+) to produce (2S,4R)-4-hydroxy-1-phenylmethoxycarbonylpyrrolidine-2-carboxylic acid."
1,0,"4-(4-chlorobutylsulfanyl)pyridine and 3-(4-pyridin-4-ylsulfanylbutyl)-2-sulfanylidene-1H-quinazolin-4-one react together in the presence of N,N-dimethylformamide, oxidane to produce 1,3-bis(4-pyridin-4-ylsulfanylbutyl)-2-sulfanylidenequinazolin-4-one."
0,1,"tetrabutylazanium and 1H-pyrrolo[2,3-b]pyridine react together in the presence of formaldehyde, propan-2-ol, iodomethane, N-methylmethanamine, trimethylsilylformonitrile, chlorane, fluoride to produce 2-(1H-pyrrolo[2,3-b]pyridin-3-yl)acetonitrile."
0,1,4-[3-(4-tert-butylphenyl)sulfanylphenyl]-2-ethyloxan-4-ol and iodomethane react together to produce 4-[3-(4-tert-butylphenyl)sulfanylphenyl]-2-ethyl-4-methoxyoxane.
1,0,"(2R)-2-amino-2-ethylhexan-1-ol reacts in the presence of 1,1-dichloroethane, sulfurochloridic acid to produce (2R)-2-butyl-2-ethylaziridine."
1,0,"4-hydroxy-2-(2-methoxyphenyl)-1-(4-thiophen-3-ylphenyl)-3-(2,2,5-trimethyl-1,3-dioxane-5-carbonyl)-2H-pyrrol-5-one and hydrazine react together in the presence of acetic acid, methanol, chlorane, oxidane to produce 3-(1,3-dihydroxy-2-methylpropan-2-yl)-4-(2-methoxyphenyl)-5-(4-thiophen-3-ylphenyl)-2,4-dihydropyrrolo[3,4-c]pyrazol-6-one."
0,1,"1-(chloromethylsulfanyl)-4-methylbenzene and fluoride react together in the presence of acetonitrile, cesium(1+) to produce 1-(fluoromethylsulfanyl)-4-methylbenzene."
0,1,"molecular bromine and 5-acetyl-1-methyl-3H-pyrrolo[2,3-b]pyridin-2-one react together in the presence of acetic acid to produce 5-(2-bromoacetyl)-1-methyl-3H-pyrrolo[2,3-b]pyridin-2-one."
1,0,"methyl 3-amino-2-(2,2-dimethoxyethylamino)benzoate and 4-fluorobenzaldehyde react together in the presence of N,N-dimethylformamide, oxidane, hydroxy sulfite, potassium(1+) to produce methyl 3-(2,2-dimethoxyethyl)-2-(4-fluorophenyl)benzimidazole-4-carboxylate."
1,0,"4-hydrazinylbenzoic acid and 2-(2-hydroxyphenyl)-1,3-benzoxazin-4-one react together in the presence of propanoic acid, N,N-dimethylformamide to produce 4-[3,5-bis(2-hydroxyphenyl)-1,2,4-triazol-1-yl]benzoic acid."
